Date.Sampled,Sample,Rep,750A,665A,750B,665B,chla
7/10/2017,Sh,B,0.0004,0.0067,0.0004,0.0106,5.577
7/10/2017,Sh,C,0.0004,0.0056,0.001,0.0093,4.433
7/10/2017,F,A,0.0006,0.002,0.0006,0.0026,0.858
7/10/2017,F,B,0.05,0.0111,0.0011,0.0093,67.353
7/10/2017,F,C,0.0009,0.0028,0.002,0.0054,2.145
7/10/2017,T,A,,,,,
7/10/2017,T,B,0.0049,0.0068,0.0081,0.0104,0.572
7/10/2017,T,C,0.0039,0.0055,0.0074,0.0099,1.287
7/10/2017,Cr,A,0.0006,0.0009,0.0005,0.0006,-0.286
7/10/2017,Cr,B,0.0006,0.0009,0.0005,0.0005,-0.429
7/10/2017,Cr,C,0.0004,-0.0005,0.0005,0.0005,1.287
7/13/2017,H,A,0.0009,0.0034,0.0005,0.0038,1.144
7/13/2017,H,B,,,0.0002,0.0093,13.013
7/13/2017,H,C,0.0004,0.0024,0.0013,0.0035,0.286
7/13/2017,So,A,0.0013,0.0039,0.0011,0.0042,0.715
7/13/2017,So,B,0.001,0.0085,0.0004,0.0099,2.86
7/13/2017,So,C,0.0006,0.0032,0.0004,0.0035,0.715
7/13/2017,Sh,A,0.0005,0.0011,0.0009,0.001,-0.715
7/13/2017,Sh,B,0.001,0.005,0.0006,0.0055,1.287
7/13/2017,Sh,C,0.0005,0.0026,0.0004,0.0026,0.143
7/13/2017,F,A,0.0009,0.0027,0.0002,0.0027,1.001
7/13/2017,F,B,0.0011,0.0055,0.001,0.0059,0.715
7/13/2017,F,C,0.0009,0.0043,0.0005,0.005,1.573
7/13/2017,T,A,0.0011,0.0081,0.0009,0.0095,2.288
7/13/2017,T,B,0.0005,0.0098,0.0005,0.0114,2.288
7/13/2017,T,C,0.0004,0.0068,0.0004,0.009,3.146
7/13/2017,Cr,A,0.0004,0.0005,0,0.0002,0.143
7/13/2017,Cr,B,0.0005,0.0005,0.0001,0,-0.143
7/13/2017,Cr,C,0.0004,0.0005,0.0004,0.0005,0
7/17/2017,H,A,0,0.005,0.001,0.008,2.86
7/17/2017,H,B,0,0.006,0.001,0.009,2.86
7/17/2017,H,C,0,0.002,0,0.003,1.43
7/17/2017,So,A,0,0.001,-0.002,0.004,7.15
7/17/2017,So,B,0,0.003,-0.001,0.006,5.72
7/17/2017,So,C,0,0.001,0,0.002,1.43
7/17/2017,Sh,A,0,0.001,-0.001,0.002,2.86
7/17/2017,Sh,B,0,0.001,-0.001,0.001,1.43
7/17/2017,Sh,C,0,0,-0.001,0,1.43
7/17/2017,F,A,0,-0.001,-0.001,0,2.86
7/17/2017,F,B,0,0.002,-0.001,0.004,4.29
7/17/2017,F,C,0,0,-0.001,0,1.43
7/17/2017,T,A,0.001,0.001,-0.001,0,1.43
7/17/2017,T,B,0,0.004,-0.001,0.006,4.29
7/17/2017,T,C,0,0.003,-0.001,0.006,5.72
7/17/2017,Cr,A,,,,,
7/17/2017,Cr,B,,,,,
7/17/2017,Cr,C,,,,,
8/15/2017,H,A,0.0078,0.0077,0,0.0004,0.715
8/15/2017,H,B,0.0073,0.0067,0,0.005,8.008
8/15/2017,H,C,0.0059,0.005,0,0,1.287
8/15/2017,So,A,0.0012,0.0013,0,0,-0.143
8/15/2017,So,B,0.0009,0.0011,0,0,-0.286
8/15/2017,So,C,0.0011,0.0011,0,0.0004,0.572
8/15/2017,Sh,A,0.0017,0.0016,0,0,0.143
8/15/2017,Sh,B,0.0012,0.001,0,0,0.286
8/15/2017,Sh,C,0.0009,0.0009,0,0,0
8/15/2017,F,A,0.0006,0.0004,0,0,0.286
8/15/2017,F,B,0.0007,0.0003,0,0,0.572
8/15/2017,F,C,0.0005,0.0006,0,0,-0.143
8/15/2017,T,A,0.0016,0.0013,0.0004,0.0009,1.144
8/15/2017,T,B,0.0038,0.0042,0.0017,0.0024,0.429
8/15/2017,T,C,0.0043,0.005,0,0,-1.001
8/15/2017,Cr,A,0.0011,0.001,0,0,0.143
8/15/2017,Cr,B,0.0005,0.0004,0,0,0.143
8/15/2017,Cr,C,0.0009,0.0009,0,0,0
8/18/2017,H,A,0.0046,0.0056,0.0034,0.0046,0.286
8/18/2017,H,B,0.001,0.0016,0.0021,0.0028,0.143
8/18/2017,H,C,0.0009,0.0018,0.0009,0.0021,0.429
8/18/2017,So,A,0.001,0.0028,0.0017,0.004,0.715
8/18/2017,So,B,0.0012,0.0026,0.0006,0.0021,0.143
8/18/2017,So,C,0.0013,0.004,0.0004,0.0039,1.144
8/18/2017,Sh,A,0.0013,0.0033,0.0011,0.0032,0.143
8/18/2017,Sh,B,0.001,0.0017,0.0004,0.0012,0.143
8/18/2017,Sh,C,0.0009,0.0012,0.0005,0.0012,0.572
8/18/2017,F,A,0.0012,0.0026,0.0009,0.0024,0.143
8/18/2017,F,B,0.0023,0.0032,0.0021,0.0027,-0.429
8/18/2017,F,C,0.001,0.0031,0.0006,0.0028,0.143
8/18/2017,T,A,0.0024,0.0045,0.002,0.0043,0.286
8/18/2017,T,B,0.001,0.0027,0.0006,0.0027,0.572
8/18/2017,T,C,0.0009,0.0039,0.0006,0.0039,0.429
8/18/2017,Cr,A,0.004,0.0005,0,0.0004,5.577
8/18/2017,Cr,B,0.0006,0.0006,0.0004,0.0005,0.143
8/18/2017,Cr,C,0.0005,0.0006,0.0002,0.0004,0.143
8/22/2017,H,A,0.0021,0.0026,0,0.0009,0.572
8/22/2017,H,B,0.001,0.0016,0,0.0005,-0.143
8/22/2017,H,C,0.0009,0.0011,0,0,-0.286
8/22/2017,So,A,0.0034,0.004,0,0.0013,1.001
8/22/2017,So,B,0.0017,0.0039,0,0.0034,1.716
8/22/2017,So,C,0.001,0.0024,0,0.0017,0.429
8/22/2017,Sh,A,0.0016,0.0034,0,0.0032,2.002
8/22/2017,Sh,B,0.002,0.0028,0,0.0043,5.005
8/22/2017,Sh,C,0.0009,0.0078,0,0.0043,-3.718
8/22/2017,F,A,0.0028,0.0178,0,0.0098,-7.436
8/22/2017,F,B,0.0061,0.0082,0,0.0222,28.743
8/22/2017,F,C,0.0057,0.0082,0,0.0056,4.433
8/22/2017,T,A,0.0023,0.005,0.0004,0.005,2.717
8/22/2017,T,B,0.0043,0.0096,0.0017,0.0111,5.863
8/22/2017,T,C,0.0049,0.0067,0,0.0049,4.433
8/22/2017,Cr,A,0.0039,0.0043,0,0,-0.572
8/22/2017,Cr,B,0.0005,0.0005,0,0,0
8/22/2017,Cr,C,0.0013,0.0016,0,0,-0.429
8/25/2017,H,A,0.0146,0.0133,0.0001,0.0011,3.289
8/25/2017,H,B,0.0074,0.007,0.0013,0.0028,2.717
8/25/2017,H,C,0.0026,0.0034,0.005,0.004,-2.574
8/25/2017,So,A,-0.0006,-0.0028,0.0009,0.0016,4.147
8/25/2017,So,B,-0.0038,-0.0026,0.001,0.0073,7.293
8/25/2017,So,C,0.0009,-0.0011,0.0004,0.0012,4.004
8/25/2017,Sh,A,,,0,0.004,5.72
8/25/2017,Sh,B,-0.0032,0.0027,0,0.0127,9.724
8/25/2017,Sh,C,-0.0026,-0.0039,0.0011,0.0023,3.575
8/25/2017,F,A,0.0004,-0.0023,0,0.0006,4.719
8/25/2017,F,B,0.002,0.0009,0.0005,0.002,3.718
8/25/2017,F,C,0.002,0.0081,0,0.0133,10.296
8/25/2017,T,A,0.0038,0.0134,0.0005,0.0134,4.719
8/25/2017,T,B,0.0062,0.0184,0.0018,0.0226,12.298
8/25/2017,T,C,0.001,0.009,0,0.0157,11.011
8/25/2017,Cr,A,-0.001,-0.0039,0,0,4.147
8/25/2017,Cr,B,0.0021,-0.001,0,0,4.433
8/25/2017,Cr,C,0.0035,-0.0001,0,0,5.148
8/29/2017,H,A,0.0146,0.0133,0.0001,0.0011,3.289
8/29/2017,H,B,0.0074,0.007,0.0013,0.0028,2.717
8/29/2017,H,C,0.0026,0.0034,0.005,0.004,-2.574
8/29/2017,So,A,-0.0006,-0.0028,0.0009,0.0016,4.147
8/29/2017,So,B,-0.0038,-0.0026,0.001,0.0073,7.293
8/29/2017,So,C,0.0009,-0.0011,0.0004,0.0012,4.004
8/29/2017,Sh,A,,,,,
8/29/2017,Sh,B,-0.0032,0.0027,0,0.0127,9.724
8/29/2017,Sh,C,-0.0026,-0.0039,0.0011,0.0023,3.575
8/29/2017,F,A,0.0004,-0.0023,0,0.0006,4.719
8/29/2017,F,B,0.002,0.0009,0.0005,0.002,3.718
8/29/2017,F,C,0.002,0.0081,0,0.0133,10.296
8/29/2017,T,A,0.0038,0.0134,0.0005,0.0134,4.719
8/29/2017,T,B,0.0062,0.0184,0.0018,0.0226,12.298
8/29/2017,T,C,0.001,0.009,0,0.0157,11.011
8/29/2017,Cr,A,-0.001,-0.0039,0,0,4.147
8/29/2017,Cr,B,0.0021,-0.001,0,0,4.433
8/29/2017,Cr,C,0.0035,-0.0001,0,0,5.148
9/1/2017,H,A,0.0006,0.0012,0.0016,0.0027,0.715
9/1/2017,H,B,0.0005,0.0017,0.001,0.0021,-0.143
9/1/2017,H,C,0.0017,0.0035,0.0016,0.0039,0.715
9/1/2017,So,A,0.0009,0.0042,0.0009,0.0052,1.43
